Tên thủ tục,Link
"Cấp giấy chứng nhận cơ sở đủ điều kiện đào tạo, huấn luyện nghiệp vụ nhân viên an ninh hàng không",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61595
Cấp Giấy phép kinh doanh công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26241
Cấp Giấy phép mua công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26208
Cấp lại Giấy phép sử dụng công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26273
"Đề nghị xác nhận tình trạng vũ khí, công cụ hỗ trợ đã mất tính năng, tác dụng được sử dụng để triển lãm, trưng bày hoặc làm đạo cụ trong hoạt động văn hóa, nghệ thuật thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26282
Cấp lại thẻ ABTC,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26246
"Cấp thẻ tạm trú cho người nước ngoài tại Cục Quản lý xuất nhập cảnh, Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26285
Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=52392
Cấp thị thực cho người nước ngoài tại Việt Nam (thực hiện tại cấp Trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26284
Cấp thị thực cho người nước ngoài tại Việt Nam (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35697
Gia hạn tạm trú cho người nước ngoài tại Việt Nam (thực hiện tại cấp Trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26283
Gia hạn tạm trú cho người nước ngoài tại Việt Nam (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35696
Khôi phục giá trị sử dụng hộ chiếu phổ thông (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26690
Khôi phục giá trị sử dụng hộ chiếu phổ thông (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35692
"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26513
"Cấp Giấy phép trang bị, giấy phép sử dụng vũ khí, công cụ hỗ trợ để triển lãm, trưng bày hoặc làm đạo cụ trong hoạt động văn hóa, nghệ thuật thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26291
Cấp Giấy phép vận chuyển công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26313
Cấp Giấy phép sử dụng công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26785
Cấp Giấy phép sửa chữa công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26775
Cấp Giấy phép trang bị công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26784
Cấp Giấy phép vận chuyển tiền chất thuốc nổ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26314
Cấp lại Giấy phép sử dụng công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26787
Cấp lại Giấy phép sử dụng vũ khí thể thao thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26782
"Đổi, cấp lại Giấy chứng nhận đăng ký mẫu con dấu (thực hiện tại cấp trung ương)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26330
Cấp Giấy chứng nhận tên định danh (Brandname),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61475
"Cấp Giấy phép cung cấp dịch vụ bảo đảm an ninh hàng không tại cảng hàng không, sân bay",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61556
